1,4,1.0
1,5,1.0
4,12,1.0
4,24,1.0
4,30,1.0
5,21,1.0
5,3,1.0
5,8,1.0
5,12,1.0
5,27,1.0
3,25,1.0
3,37,1.0
3,1,1.0
25,2,1.0
25,12,1.0
25,14,1.0
37,6,1.0
37,7,1.0
12,18,1.0
12,21,1.0
21,10,1.0
21,1,1.0
21,11,1.0
6,16,1.0
6,21,1.0
16,18,1.0
7,5,1.0
7,4,1.0
9,4,1.0
9,7,2.0
9,9,1.0
9,11,1.0
9,14,1.0
11,9,1.0
11,17,1.0
13,40,1.0
13,5,1.0
13,12,1.0
13,16,1.0
40,1,1.0
40,5,1.0
15,4,1.0
15,5,1.0
15,7,1.0
15,12,1.0
15,16,1.0
15,29,1.0
15,34,1.0
29,16,2.0
29,17,1.0
29,15,1.0
29,24,1.0
34,21,1.0
34,30,1.0
18,14,1.0
18,38,1.0
17,4,1.0
17,5,1.0
17,6,1.0
17,1,1.0
17,15,1.0
19,11,1.0
19,20,1.0
19,8,1.0
20,21,1.0
20,37,1.0
10,7,1.0
23,8,1.0
23,13,1.0
23,30,1.0
8,28,1.0
30,6,1.0
30,21,1.0
30,29,1.0
24,8,1.0
24,28,1.0
2,18,1.0
2,20,1.0
27,26,1.0
27,33,1.0
26,30,1.0
26,37,1.0
33,15,1.0
33,16,1.0
33,7,1.0
32,6,1.0
32,8,1.0
35,16,1.0
35,20,1.0
35,15,1.0
36,1,1.0
36,5,1.0
36,19,1.0
39,18,1.0
39,7,1.0
39,11,1.0
39,15,1.0
41,3,1.0
41,9,1.0
41,12,1.0
41,16,1.0
41,24,1.0
42,12,1.0
42,22,1.0
44,9,1.0
44,16,1.0
44,24,1.0
44,40,1.0
45,24,1.0
45,37,1.0
46,12,1.0
46,30,1.0
46,34,1.0
47,23,1.0
47,37,1.0
47,2,1.0
48,12,1.0
53,26,1.0
53,16,1.0
53,17,1.0
54,3,1.0
54,15,1.0
54,6,1.0
54,8,1.0
54,13,1.0
55,7,1.0
55,8,1.0
55,26,1.0
56,7,1.0
56,14,1.0
56,16,1.0
56,23,1.0
56,24,1.0
14,8,1.0
14,34,1.0
57,8,1.0
57,7,1.0
57,12,1.0
59,33,1.0
59,37,1.0
59,9,1.0
59,16,1.0
60,8,1.0
60,17,1.0
60,27,1.0
60,25,1.0
61,15,1.0
61,16,1.0
61,17,1.0
61,18,1.0
62,6,1.0
62,12,1.0
63,8,1.0
63,12,1.0
63,33,1.0
63,11,1.0
63,22,1.0
65,32,1.0
65,15,1.0
66,27,1.0
67,28,1.0
28,9,1.0
68,2,1.0
38,28,1.0
38,39,1.0
22,15,1.0
22,16,1.0
22,17,1.0
31,27,1.0
43,9,1.0
43,15,1.0
43,24,1.0
49,10,1.0
49,20,1.0
51,17,1.0
51,19,1.0
52,21,1.0
52,35,1.0
58,22,1.0
64,33,1.0
