4,33,1.0
8,43,1.0
14,168,1.0
33,34,1.0
34,33,1.0
37,38,1.0
37,39,1.0
38,37,1.0
39,38,1.0
39,37,1.0
42,19,1.0
43,0,1.0
43,33,1.0
51,16,1.0
51,73,1.0
51,17,1.0
51,18,1.0
54,33,1.0
56,33,1.0
56,13,1.0
57,38,1.0
57,35,1.0
58,42,1.0
58,19,1.0
60,0,1.0
60,42,1.0
60,55,1.0
60,89,1.0
60,93,1.0
60,1,1.0
61,19,1.0
62,28,1.0
62,19,1.0
63,19,1.0
63,31,1.0
64,33,1.0
64,79,1.0
65,51,1.0
65,73,1.0
65,86,1.0
66,0,1.0
66,2,1.0
68,38,1.0
68,37,1.0
69,42,1.0
69,31,1.0
69,41,1.0
69,45,1.0
71,0,1.0
73,0,1.0
73,51,1.0
73,16,1.0
73,17,1.0
73,18,1.0
75,33,1.0
77,33,1.0
78,10,1.0
79,64,1.0
81,16,1.0
82,40,1.0
84,42,1.0
84,41,1.0
84,40,1.0
85,91,1.0
88,4,1.0
89,0,1.0
89,32,1.0
89,42,1.0
91,33,1.0
91,4,1.0
94,6,1.0
94,19,1.0
94,20,1.0
95,42,1.0
95,20,1.0
96,13,1.0
97,29,1.0
100,42,1.0
100,41,1.0
100,40,1.0
103,58,1.0
105,81,1.0
105,51,1.0
106,58,1.0
106,4,1.0
107,0,1.0
108,35,1.0
109,58,1.0
109,61,1.0
109,87,1.0
110,21,1.0
110,88,1.0
111,88,1.0
113,14,1.0
113,72,1.0
114,54,1.0
114,130,1.0
115,75,1.0
115,81,1.0
115,4,1.0
116,28,1.0
116,19,1.0
116,88,1.0
116,20,1.0
117,66,1.0
117,44,1.0
117,60,1.0
117,41,1.0
118,41,1.0
118,60,1.0
118,0,1.0
118,66,1.0
118,69,1.0
118,89,1.0
118,1,1.0
119,6,1.0
119,5,1.0
119,33,1.0
119,53,1.0
119,4,1.0
120,44,1.0
120,58,1.0
120,43,1.0
120,72,1.0
120,42,1.0
120,84,1.0
120,85,1.0
120,90,1.0
120,40,1.0
121,61,1.0
121,62,1.0
121,28,1.0
121,19,1.0
121,88,1.0
121,90,1.0
121,20,1.0
121,99,1.0
123,59,1.0
123,64,1.0
123,80,1.0
123,86,1.0
125,51,1.0
125,38,1.0
125,37,1.0
125,68,1.0
125,71,1.0
125,73,1.0
127,79,1.0
127,83,1.0
130,54,1.0
130,33,1.0
130,4,1.0
130,91,1.0
131,19,1.0
